Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
1,6,WM24321-ND,5601230400,CONN RCPT HSG 4POS 2.00MM,ncs53,6,0,0.19,1.14
2,10,WM17757-ND,5601230200,CONN RCPT HSG 2POS 2.00MM,ncs53,10,0,0.118,1.18
3,6,WM17271-ND,5601250400,RETAINER 4P,ncs53,6,0,0.138,0.83
4,10,WM17688-ND,5601250200,RETAINER 2P,ncs53,10,0,0.143,1.43
5,50,WM16316CT-ND,5601240101,CONN 22AWG CRMP TIN,ncs53,50,0,0.0226,1.13
